paracetamol ,headache, muscle aches, arthritis, backache, toothaches, colds,   fevers. ,,,,,,
diazepam ,treat anxiety disorders, alcohol withdrawal symptoms, or muscle spasms. Diazepam is sometimes used with other medications to treat seizures. ,,,,,,,,,,
diclofenac ,used to treat mild to moderate pain, or signs ,  symptoms of osteoarthritis or rheumatoid arthritis. Voltaren is also indicated for the treatment of ankylosing spondylitis ,,,,,,,,,,
digoxin ,treat atrial fibrillation, a heart rhythm disorder of the atria (the upper chambers of the heart that allow blood to flow into the heart). ,,,,,,,,,,,
diltiazem ,used to treat hypertension (high blood pressure), angina (chest pain),   certain heart rhythm disorders. ,,,,,,,,,,
diphenhydramine ,used to treat sneezing, runny nose, watery eyes, hives, skin rash, itching,   other cold or allergy symptoms. Diphenhydramine is also used to treat motion sickness, to induce sleep,   to treat certain symptoms of Parkinson' s disease. ,,,,
dopamine, used to treat certain conditions that occur when you are in shock, which may be caused by heart attack, trauma, surgery, heart failure, kidney failure,   other serious medical conditions. N EVER SETTLE Scanned with CamScanner,,,,,,
doxycycline ,used to treat many different bacterial infections, such as acne, urinary tract infections, intestinal infections, respiratory infections, eye infections, gonorrhea, chlamydia, syphilis, periodontitis ( gum disease),   others. Doxycycline is also used to treat blemishes, bumps. ,  acne- like lesions caused by rosacea. It will not treat facial redness caused by rosacea. 
Effexor, venlafaxin ,treat major depressive disorder, anxiety ,  panic disorder. ,,,,,,,,,
Elmiron, pentosan polysulfate sodium ,used to treat bladder pain ,  discomfort caused by Cystitis ( bladder inflammation or irritation). ,,,,,,,,,,
enoxaparin ,used to treat or prevent a type Of blood clot called deep vein thrombosis (DVT), which can lead to blood clots in the lungs (pulmonary embolism) . A DVT can occur after certain types of surgery, or in people who are bed- ridden due to a prolonged illness. ,,,,,,,,,,
ephedrine capsules ,  tablets ,used for temporary relief of shortness of breath, chest tightness,   wheezing due to bronchial ,,,,,,,,,
ergocalciferol (vitamin D2) ,used to treat hypoparathyroidism (decreased functioning of the parathyroid gl, s). Ergocalciferol is allso used to treat rickets (softening of the bones caused by vitamin D deficiency) or low levels of phosphate in the blood ( hypophosphatemia). ,,,,,,,,,,,
estradiol oral ,used to treat menopause symptoms such as hot flashes ,  vaginal changes,   to prevent osteoporosis ( bone loss) in menopausal women. Estradiol is also used to treat low estrogen levels in women with ovarian failure. It is also indicated to treat certain types Of breast cancer ,  prostate Cancer. ,,,,,,,,,
ethambutol ,used to treat tuberculosis (TB),   is usually given together with at least one other tuberculosis medicine. ,,,,,,,,,,,
Evista raloxifene ,used to treat or prevent osteoporosis in postmenopausal women. Evista is also used to reduce the risk of invasive breast cancer in postmenopausal women who have osteoporosis or who are otherwise at risk of invasive breast cancer. ,,,,,,,,,,,,
Excedrin acetaminophen, aspirin,   caffeine ,used to treat pain caused by tension headaches, migraine headaches, muscle aches, menstrual cramps, arthritis, toothaches, the common cold, or nasal congestion. Scanned with CamScanner,,,
famciclovir, used in people with human immunodeficiency virus (HIV) who develop herpes outbreaks around the mouth, genitals, or anal area.,,,,,,,,,,
famotidine, used to treat and prevent ulcers in the stomach and intestines. It also treats conditions in which the stomach produces too much acid, such as Zollinger-Ellison syndrome.,,,,,,,,,,,
fexofenadine, used to treat skin itching and hives caused by a condition called chronic idiopathic urticaria in adults and children at least  years old.,,,,,,,,,,,,
Flovent,fluticasone inhalation, used to prevent asthma attacks. This medicine will not treat an asthma attack that has already begun.,,,,,,,,,,,
fluvoxamine, used to treat social anxiety disorder (social phobia), or obsessive-compulsive disorders involving recurring thoughts or actions,,,,,,,,,,,
gentamicin, used to treat severe or serious bacterial infections.,,,,,,,,,,,,
Gilenya, fingolimod, used to treat relapsing multiple sclerosis (MS) in adults, and children and adolescents aged  years and older.,,,,,,,,,,
Glucotrol, glipizide, oral diabetes medicine that helps control blood sugar levels by helping your pancreas produce insulin.,,,,,,,,,,,
guanfacine , used to treat high blood pressure (hypertension). It is sometimes given with other blood pressure medications.,,,,,,,,,,,,
glucosamine, used in alternative medicine as an aid to relieving joint pain, swelling, and stiffness caused by arthritis.,,,,,,,,,,
heparin (injection), used to treat and prevent blood clots caused by certain medical conditions or medical procedures. It is also used before surgery to reduce the risk of blood clots.,,,,,,,,,,,,
Herceptin ,trastuzumab, used to treat certain types of breast cancer or stomach cancer,,,,,,,,,,,
hydralazine, used to treat high blood pressure (hypertension).,,,,,,,,,,,,
hydrochlorothiazide, used to treat high blood pressure (hypertension).Hydrochlorothiazide is also used to treat fluid retention (edema) in people with congestive heart failure, cirrhosis of the liver, or kidney disorders, or edema caused by taking steroids or estrogen.,,,,,,,,,
hydrocortisone, used to replace steroids in people with adrenal insufficiency (decreased production of natural steroids by the adrenal glands).,,,,,,,,,,,,
hydroxychloroquine, used to treat symptoms of rheumatoid arthritis and discoid or systemic lupus erythematosus.,,,,,,,,,,,,
ibuprofen, used to reduce fever and treat pain or inflammation caused by many conditions such as headache, toothache, back pain, arthritis, menstrual cramps, or minor injury.,,,,,,,
indomethacin, used to treat moderate to severe osteoarthritis, rheumatoid arthritis, gouty arthritis, or ankylosing spondylitis. Indomethacin is also used to treat shoulder pain caused by bursitis or tendinitis.,,,,,,,,,
isosorbide mononitrate, used to prevent angina attacks (chest pain).,,,,,,,,,,,,
Jardiance empagliflozin, used to lower the risk of death from heart attack, stroke, or heart failure in adults with type  diabetes who also have heart disease.,,,,,,,,,,
ketamine , used to put you to sleep for surgery and to prevent pain and discomfort during certain medical tests or procedures.,,,,,,,,,,,,
ketoconazole, used to treat certain infections caused by fungus,,,,,,,,,,,,
Klonopin clonazepam , used to treat certain seizure disorders (including absence seizures or Lennox-Gastaut syndrome) in adults and children.,,,,,,,,,,,,
Lamictal lamotrigine, used alone or with other medications to treat epileptic seizures in adults and children. Lamictal is also used to delay mood episodes in adults with bipolar disorder (manic depression),,,,,,,,,,,,
levofloxacin, used to treat different types of bacterial infections. Levofloxacin is also used to treat people who have been exposed to anthrax or certain types of plague.,,,,,,,,,,,,
Lidocaine hydrochloride, that contains a local anesthetic agent and is administered parenterally by injection. ,,,,,,,,,,,,
losartan, used to treat high blood pressure (hypertension). It is also used to lower the risk of stroke in certain people with heart disease.,,,,,,,,,,,,
memantine, used to treat moderate to severe dementia of the Alzheimer's type. metformin, used together with diet and exercise to improve blood sugar control in adults with type  diabetes mellitus.,,,,,,,,,,,
methocarbamol, used together with rest and physical therapy to treat skeletal muscle conditions such as pain or injury.,,,,,,,,,,,,
metoprolol, used to treat angina (chest pain) and hypertension (high blood pressure).Metoprolol is also used to lower your risk of death or needing to be hospitalized for heart failure.,,,,,,,,,,,,
minocycline, used to treat many different bacterial infections, such as urinary tract infections, respiratory infections, skin infections, severe acne, chlamydia, tick fever, and others. It is also used for gonorrhoea, syphilis, and other infections as a second-line drug in those with a penicillin allergy.,,,
morphine , used to treat moderate to severe pain. Short-acting formulations are taken as needed for pain.,,,,,,,,,,,,
naloxone injection, used to treat a narcotic overdose in an emergency situation. This medicine should not be used in place of emergency medical care for an overdose.,,,,,,,,,,,,
penicillin V, used to treat many different types of infections caused by bacteria, such as ear infections,.,,,,,,,,,,
phenazopyridine, used to treat urinary symptoms such as pain or burning, increased urination, and increased urge to urinate. These symptoms can be caused by infection, injury, surgery, catheter, or other conditions that irritate the bladder.,,,,,,
phenylephrine (oral), used to treat stuffy nose and sinus congestion caused by the common cold, hay fever, or other allergies.,,,,,,,,,,
pramipexole, used to treat symptoms of Parkinson's disease (stiffness, tremors, muscle spasms, and poor muscle control). Pramipexole is also used to treat restless legs syndrome (RLS). memantine,,,,,,,,,
memantine, used to treat moderate to severe dementia of the Alzheimer's type.,,,,,,,,,,,,
promethazine, used to treat allergy symptoms such as itching, runny nose, sneezing, itchy or watery eyes, hives, and itchy skin rashes. It also prevents motion sickness, and treats nausea and vomiting or pain after surgery. It is also used as a sedative or sleep aid.,,,,,,
propofol, used to sedate a patient who is under critical care and needs a mechanical ventilator (breathing machine).,,,,,,,,,,,,
ramipril, used to treat high blood pressure (hypertension) or congestive heart failure, and to improve survival after a heart attack.,,,,,,,,,,,
rabeprazole, used short-term to treat symptoms of gastroesophageal reflux disease (GERD) in adults and children who are at least  year old.,,,,,,,,,,,,
ranitidine, used to treat and prevent ulcers in the stomach and intestines. It also treats conditions in which the stomach produces too much acid, such as Zollinger-Ellison syndrome.,,,,,,,,,,,
rifampin, used to reduce certain bacteria in your nose and throat that could cause meningitis or other infections. Rifampin prevents you from spreading these bacteria to other people, but rifampin will not treat an active meningitis infection.,,,,,,,,,,,
rivaroxaban, used to lower your risk of a blood clot coming back after you have received treatment for blood clots for at least  months.,,,,,,,,,,,,
tadalafil, used to treat erectile dysfunction (impotence) and symptoms of benign prostatic hypertrophy (enlarged prostate). Another brand of tadalafil is Adcirca, which is used to treat pulmonary arterial hypertension and improve exercise capacity in men and women.,,,,,,,,,,,
tetracycline, used to treat many different bacterial infections of the skin, intestines, respiratory tract, urinary tract, genitals, lymph nodes, and other body systems. It is often used in treating severe acne, or sexually transmitted diseases such as syphilis, gonorrhea, or chlamydia.,,,
timolol, used to lower the risk of death after a heart attack, or to lower the risk of having another heart attack.,,,,,,,,,,,
Tobramycin sulfate, used only to treat or prevent infections that are proven or strongly suspected to be caused by bacteria.,,,,,,,,,,,,
Ultomiris ravulizumab-cwvz, used to treat paroxysmal nocturnal hemoglobinuria (PNH) in adults.,,,,,,,,,,,,
Ultracet acetaminophen and tramadol, Ultracet is used to treat moderate to severe pain,,,,,,,,,,,,
Unisom doxylamine, used to treat sneezing, runny nose, watery eyes, hives, skin rash, itching, and other cold or allergy symptoms.,,,,,,
valacyclovir , used to treat infections caused by herpes viruses, including genital herpes, cold sores, and shingles (herpes zoster) in adults.,,,,,,,,,
vasopressin, used to treat or prevent certain conditions of the stomach after surgery or during abdominal x-rays.,,,,,,,,,,,,
Vibramycin doxycycline, reduce the development of drug-resistant bacteria and maintain the effectiveness of Vibramycin® and other antibacterial drugs, Vibramycin should be used only to treat or prevent infections that are proven or strongly suspected to be caused by bacteria.,,,,,,,,,,,
Vistaril hydroxyzine, used as a sedative to treat anxiety and tension. It is also used together with other medications given during and after general anesthesia.,,,,,,,,,,,,
Wellbutrin bupropion, Wellbutrin (bupropion) is an antidepressant medication used to treat major depressive disorder and seasonal affective disorder.,,,,,,,,,,,,
Xalatan latanoprost ophthalmic, used to treat certain types of glaucoma and other causes of high pressure inside the eye.,,,,,,,,,,,,
