usp_category,usp_class,usp_drug,kegg_id_drug,drug_example,kegg_id_drug_example,nomenclature
Analgesics,Nonsteroidal Anti-inflammatory Drugs,indomethacin,DG00241,indomethacin,D00141,(USP)
Analgesics,Nonsteroidal Anti-inflammatory Drugs,indomethacin,DG00241,indomethacin sodium,D02110,(USP)
Analgesics,Nonsteroidal Anti-inflammatory Drugs,ketoprofen,DG00753,ketoprofen,D00132,(JP17/USP/INN)
Analgesics,Nonsteroidal Anti-inflammatory Drugs,ketoprofen,DG00753,ketoprofen lysine,D08102,
Analgesics,Nonsteroidal Anti-inflammatory Drugs,ketoprofen,DG00753,ketoprofen sodium,D08103,
Analgesics,Nonsteroidal Anti-inflammatory Drugs,ketorolac,DG00751,ketorolac,D08104,(INN)
Analgesics,Nonsteroidal Anti-inflammatory Drugs,ketorolac,DG00751,ketorolac tromethamine,D00813,(USP)
Analgesics,Nonsteroidal Anti-inflammatory Drugs,meclofenamate,DG00758,meclofenamic acid,D02341,(USAN/INN)
Analgesics,Nonsteroidal Anti-inflammatory Drugs,meclofenamate,DG00758,meclofenamate sodium,D00169,(USP)
Analgesics,Nonsteroidal Anti-inflammatory Drugs,meclofenamate,DG00758,meclofenamate sodium,D08162,
Analgesics,Nonsteroidal Anti-inflammatory Drugs,mefenamic acid,,mefenamic acid,D00151,(JP17/USP/INN)
Analgesics,Nonsteroidal Anti-inflammatory Drugs,meloxicam,,meloxicam,D00969,(JAN/USAN/INN)
Analgesics,Nonsteroidal Anti-inflammatory Drugs,nabumetone,,nabumetone,D00425,(JP17/USP/INN)
Analgesics,Nonsteroidal Anti-inflammatory Drugs,naproxen,DG00455,naproxen,D00118,(JP17/USP/INN)
Analgesics,Nonsteroidal Anti-inflammatory Drugs,naproxen,DG00455,naproxen sodium,D00970,(USP)
Analgesics,Nonsteroidal Anti-inflammatory Drugs,naproxen,DG00455,naproxen etemesil,D10017,(USAN)
Analgesics,Nonsteroidal Anti-inflammatory Drugs,oxaprozin,,oxaprozin,D00463,(JP17/USAN/INN)
Analgesics,Nonsteroidal Anti-inflammatory Drugs,piroxicam,DG00752,piroxicam,D00127,(JP17/USP/INN)
Analgesics,Nonsteroidal Anti-inflammatory Drugs,piroxicam,DG00752,piroxicam betadex,D05511,(USAN)
Analgesics,Nonsteroidal Anti-inflammatory Drugs,piroxicam,DG00752,piroxicam cinnamate,D05512,(USAN)
Analgesics,Nonsteroidal Anti-inflammatory Drugs,piroxicam,DG00752,piroxicam olamine,D05513,(USAN)
Analgesics,Nonsteroidal Anti-inflammatory Drugs,sulindac,,sulindac,D00120,(JP17/USP/INN)
Analgesics,Nonsteroidal Anti-inflammatory Drugs,tolmetin,DG00747,tolmetin,D02355,(USAN/INN)
Analgesics,Nonsteroidal Anti-inflammatory Drugs,tolmetin,DG00747,tolmetin sodium,D00158,(JAN/USP)
Analgesics,"Opioid Analgesics, Long-acting",hydromorphone,DG00811,hydromorphone,D08047,(INN)
Analgesics,"Opioid Analgesics, Long-acting",hydromorphone,DG00811,hydromorphone hydrochloride,D00839,(JAN/USP)
Analgesics,"Opioid Analgesics, Long-acting",fentanyl,DG00791,fentanyl,D00320,(JAN/USAN/INN)
Analgesics,"Opioid Analgesics, Long-acting",fentanyl,DG00791,fentanyl citrate,D01399,(JP17/USP)
Analgesics,"Opioid Analgesics, Long-acting",levorphanol,DG01341,levorphanol,D08123,(INN)
Analgesics,"Opioid Analgesics, Long-acting",levorphanol,DG01341,levorphanol tartrate,D00841,(USP)
Analgesics,"Opioid Analgesics, Long-acting",methadone,DG00999,methadone,D08195,(BAN)
Analgesics,"Opioid Analgesics, Long-acting",methadone,DG00999,methadone hydrochloride,D02102,(JAN/USP)
Analgesics,"Opioid Analgesics, Long-acting",morphine,DG00810,morphine,D08233,(BAN)
Analgesics,"Opioid Analgesics, Long-acting",morphine,DG00810,morphine sulfate,D00842,(USP)
Analgesics,"Opioid Analgesics, Long-acting",morphine,DG00810,morphine hydrochloride hydrate,D02271,(JP17)
Analgesics,"Opioid Analgesics, Long-acting",morphine,DG00810,morphine tartrate,D08234,
Analgesics,"Opioid Analgesics, Long-acting",oxycodone,DG00813,oxycodone,D05312,(USAN/INN)
Analgesics,"Opioid Analgesics, Long-acting",oxycodone,DG00813,oxycodone hydrochloride,D00847,(USP)
Analgesics,"Opioid Analgesics, Long-acting",oxycodone,DG00813,compound oxycodone,D02175,(JP17)
Analgesics,"Opioid Analgesics, Long-acting",oxycodone,DG00813,oxycodone terephthalate,D03783,(USP)
Analgesics,"Opioid Analgesics, Long-acting",oxycodone,DG00813,oxycodone hydrochloride hydrate,D05462,(JP17)
Analgesics,"Opioid Analgesics, Long-acting",oxymorphone,DG01343,oxymorphone,D08323,(INN)
Analgesics,"Opioid Analgesics, Long-acting",oxymorphone,DG01343,oxymorphone hydrochloride,D00844,(USP)
Analgesics,"Opioid Analgesics, Long-acting",tramadol,DG00824,tramadol,D08623,(INN)
Analgesics,"Opioid Analgesics, Long-acting",tramadol,DG00824,tramadol hydrochloride,D01355,(JAN/USAN)
Analgesics,"Opioid Analgesics, Short-acting",butorphanol,DG00821,butorphanol,D03197,(USAN/INN)
Analgesics,"Opioid Analgesics, Short-acting",butorphanol,DG00821,butorphanol tartrate,D00837,(JAN/USP)
Analgesics,"Opioid Analgesics, Short-acting",codeine,DG01076,codeine,D00195,(USP)
Analgesics,"Opioid Analgesics, Short-acting",codeine,DG01076,codeine phosphate,D02101,(USP)
Analgesics,"Opioid Analgesics, Short-acting",codeine,DG01076,codeine polistirex,D03579,(USAN)
Analgesics,"Opioid Analgesics, Short-acting",codeine,DG01076,codeine sulfate,D03580,(USP)
Analgesics,"Opioid Analgesics, Short-acting",codeine,DG01076,codeine hydrochloride,D07740,
Analgesics,"Opioid Analgesics, Short-acting",fentanyl,DG00791,fentanyl,D00320,(JAN/USAN/INN)
Analgesics,"Opioid Analgesics, Short-acting",fentanyl,DG00791,fentanyl citrate,D01399,(JP17/USP)
Analgesics,"Opioid Analgesics, Short-acting",hydromorphone,DG00811,hydromorphone,D08047,(INN)
Analgesics,"Opioid Analgesics, Short-acting",hydromorphone,DG00811,hydromorphone hydrochloride,D00839,(JAN/USP)
Analgesics,"Opioid Analgesics, Short-acting",meperidine,DG00816,pethidine,D08343,(INN)
Analgesics,"Opioid Analgesics, Short-acting",meperidine,DG00816,meperidine hydrochloride,D01383,(USP)
Analgesics,"Opioid Analgesics, Short-acting",nalbuphine,DG00822,nalbuphine,D08246,(INN)
Analgesics,"Opioid Analgesics, Short-acting",nalbuphine,DG00822,nalbuphine hydrochloride,D00843,(USAN)
Analgesics,"Opioid Analgesics, Short-acting",oxycodone,DG00813,oxycodone,D05312,(USAN/INN)
Analgesics,"Opioid Analgesics, Short-acting",oxycodone,DG00813,oxycodone hydrochloride,D00847,(USP)
Analgesics,"Opioid Analgesics, Short-acting",oxycodone,DG00813,compound oxycodone,D02175,(JP17)
Analgesics,"Opioid Analgesics, Short-acting",oxycodone,DG00813,oxycodone terephthalate,D03783,(USP)
Analgesics,"Opioid Analgesics, Short-acting",oxycodone,DG00813,oxycodone hydrochloride hydrate,D05462,(JP17)
Analgesics,"Opioid Analgesics, Short-acting",oxymorphone,DG01343,oxymorphone,D08323,(INN)
Analgesics,"Opioid Analgesics, Short-acting",oxymorphone,DG01343,oxymorphone hydrochloride,D00844,(USP)
Analgesics,"Opioid Analgesics, Short-acting",pentazocine,DG00819,pentazocine,D00498,(JP17/USP/INN)
Analgesics,"Opioid Analgesics, Short-acting",pentazocine,DG00819,pentazocine lactate,D02111,(USP)
Analgesics,"Opioid Analgesics, Short-acting",pentazocine,DG00819,pentazocine hydrochloride,D02227,(JAN/USP)
Analgesics,"Opioid Analgesics, Short-acting",tapentadol,DG00826,tapentadol,D06007,(USAN/INN)
Analgesics,"Opioid Analgesics, Short-acting",tapentadol,DG00826,tapentadol hydrochloride,D10199,(JAN)
Analgesics,"Opioid Analgesics, Short-acting",tramadol,DG00824,tramadol,D08623,(INN)
Analgesics,"Opioid Analgesics, Short-acting",tramadol,DG00824,tramadol hydrochloride,D01355,(JAN/USAN)
Anesthetics,Local Anesthetics,lidocaine,DG00196,lidocaine,D00358,(JP17/USP/INN)
Anesthetics,Local Anesthetics,lidocaine,DG00196,lidocaine hydrochloride,D02086,(JAN/USP)
Anesthetics,Local Anesthetics,lidocaine,DG00196,lidocaine hydrochloride monohydrate,D08127,
Anesthetics,Local Anesthetics,lidocaine and prilocaine,,lidocaine - prilocaine mixt,D02740,
Anti-Addiction/Substance Abuse Treatment Agents,Alcohol Deterrents/Anti-craving,acamprosate,DG00996,acamprosate,D07058,(INN)
Anti-Addiction/Substance Abuse Treatment Agents,Alcohol Deterrents/Anti-craving,acamprosate,DG00996,acamprosate calcium,D02780,(JAN/USAN)
Anti-Addiction/Substance Abuse Treatment Agents,Alcohol Deterrents/Anti-craving,disulfiram,,disulfiram,D00131,(JP17/USP/INN)
Anti-Addiction/Substance Abuse Treatment Agents,Alcohol Deterrents/Anti-craving,naltrexone,DG00997,naltrexone,D05113,(USAN/INN)
Anti-Addiction/Substance Abuse Treatment Agents,Alcohol Deterrents/Anti-craving,naltrexone,DG00997,naltrexone hydrochloride,D02095,(USP)
Anti-Addiction/Substance Abuse Treatment Agents,Opioid Dependence Treatments,buprenorphine,DG00820,buprenorphine,D07132,(JAN/INN)
Anti-Addiction/Substance Abuse Treatment Agents,Opioid Dependence Treatments,buprenorphine,DG00820,buprenorphine hydrochloride,D00836,(JP17/USP)
Anti-Addiction/Substance Abuse Treatment Agents,Opioid Dependence Treatments,buprenorphine/naloxone,,buprenorphine - naloxone mixt,D10250,
Anti-Addiction/Substance Abuse Treatment Agents,Opioid Dependence Treatments,naltrexone,DG00997,naltrexone,D05113,(USAN/INN)
Anti-Addiction/Substance Abuse Treatment Agents,Opioid Dependence Treatments,naltrexone,DG00997,naltrexone hydrochloride,D02095,(USP)
Anti-Addiction/Substance Abuse Treatment Agents,Opioid Reversal Agents,naloxone,DG01155,naloxone,D08249,(INN)
Anti-Addiction/Substance Abuse Treatment Agents,Opioid Reversal Agents,naloxone,DG01155,naloxone hydrochloride,D01340,(JP17/USP)
Anti-Addiction/Substance Abuse Treatment Agents,Smoking Cessation Agents,bupropion,DG00957,bupropion,D07591,(INN)
Anti-Addiction/Substance Abuse Treatment Agents,Smoking Cessation Agents,bupropion,DG00957,bupropion hydrochloride,D00817,(JAN/USP)
Anti-Addiction/Substance Abuse Treatment Agents,Smoking Cessation Agents,bupropion,DG00957,bupropion hydrobromide,D07938,(USAN)
Anti-Addiction/Substance Abuse Treatment Agents,Smoking Cessation Agents,nicotine,DG00994,nicotine,D03365,(USP)
Anti-Addiction/Substance Abuse Treatment Agents,Smoking Cessation Agents,nicotine,DG00994,nicotine bitartrate,D05156,(USAN)
Anti-Addiction/Substance Abuse Treatment Agents,Smoking Cessation Agents,nicotine,DG00994,nicotine polacrilex,D05157,(USAN)
Anti-Addiction/Substance Abuse Treatment Agents,Smoking Cessation Agents,varenicline,DG00995,varenicline,D08669,(INN)
Anti-Addiction/Substance Abuse Treatment Agents,Smoking Cessation Agents,varenicline,DG00995,varenicline tartrate,D06282,(JAN/USAN)
Antibacterials,Aminoglycosides,amikacin,DG00403,amikacin,D02543,(USP/INN)
Antibacterials,Aminoglycosides,amikacin,DG00403,amikacin sulfate,D00865,(JP17/USP)
Antibacterials,Aminoglycosides,gentamicin,DG00401,gentamicin,D08013,(BAN)
Antibacterials,Aminoglycosides,gentamicin,DG00401,gentamicin sulfate,D01063,(JP17/USP)
Antibacterials,Aminoglycosides,kanamycin,DG00085,kanamycin sulfate,D00866,(USP)
Antibacterials,Aminoglycosides,kanamycin,DG00085,kanamycin sulfate,D03262,(JP17)
Antibacterials,Aminoglycosides,neomycin,DG00003,neomycin,D08260,(INN)
Antibacterials,Aminoglycosides,neomycin,DG00003,neomycin sulfate,D01618,(USP)
Antibacterials,Aminoglycosides,neomycin,DG00003,neomycin palmitate,D05141,(USAN)
Antibacterials,Aminoglycosides,neomycin,DG00003,neomycin undecylenate,D05142,(USAN)
Antibacterials,Aminoglycosides,paromomycin,DG00084,paromomycin,D07467,(INN)
Antibacterials,Aminoglycosides,paromomycin,DG00084,paromomycin sulfate,D00868,(JAN/USP)
Antibacterials,Aminoglycosides,streptomycin,DG00082,streptomycin,D08531,(INN)
Antibacterials,Aminoglycosides,streptomycin,DG00082,streptomycin sulfate,D01350,(JP17/USP)
Antibacterials,Aminoglycosides,tobramycin,DG00608,tobramycin,D00063,(JP17/USP)
Antibacterials,Aminoglycosides,tobramycin,DG00608,tobramycin sulfate,D02542,(USP)
Antibacterials,"Beta-lactam, Cephalosporins",cefadroxil,DG00551,cefadroxil,D00257,(JP17)
Antibacterials,"Beta-lactam, Cephalosporins",cefadroxil,DG00551,cefadroxil,D02353,(USP)
Antibacterials,"Beta-lactam, Cephalosporins",cefazolin,DG00550,cefazolin,D02299,(USP)
Antibacterials,"Beta-lactam, Cephalosporins",cefazolin,DG00550,cefazolin sodium,D00905,(JP17/USP)
Antibacterials,"Beta-lactam, Cephalosporins",cefazolin,DG00550,cefazolin sodium hydrate,D02226,(JP17)
Antibacterials,"Beta-lactam, Cephalosporins",cephalexin,DG00548,cefalexin,D00263,(JP17)
Antibacterials,"Beta-lactam, Cephalosporins",cephalexin,DG00548,cephalexin,D00906,(USP)
Antibacterials,"Beta-lactam, Cephalosporins",cephalexin,DG00548,cephalexin hydrochloride,D03438,(USP)
Antibacterials,"Beta-lactam, Cephalosporins",cefaclor,DG00560,cefaclor,D00256,(JP17)
Antibacterials,"Beta-lactam, Cephalosporins",cefaclor,DG00560,cefaclor,D02352,(USP)
Antibacterials,"Beta-lactam, Cephalosporins",cefoxitin,DG00557,cefoxitin,D02345,(USAN/INN)
Antibacterials,"Beta-lactam, Cephalosporins",cefoxitin,DG00557,cefoxitin sodium,D00913,(JAN/USP)
Antibacterials,"Beta-lactam, Cephalosporins",cefprozil,DG00566,cefprozil,D07651,(INN)
Antibacterials,"Beta-lactam, Cephalosporins",cefprozil,DG00566,cefprozil,D00261,(USP)
Antibacterials,"Beta-lactam, Cephalosporins",cefuroxime,DG00558,cefuroxime,D00262,(USAN/INN)
Antibacterials,"Beta-lactam, Cephalosporins",cefuroxime,DG00558,cefuroxime axetil,D00914,(JP17/USP/INN)
Antibacterials,"Beta-lactam, Cephalosporins",cefuroxime,DG00558,cefuroxime sodium,D00915,(JAN/USP)
Antibacterials,"Beta-lactam, Cephalosporins",cefuroxime,DG00558,cefuroxime pivoxetil,D03431,(USAN)
Antibacterials,"Beta-lactam, Cephalosporins",cefdinir,,cefdinir,D00917,(JP17/USAN/INN)
Antibacterials,"Beta-lactam, Cephalosporins",cefditoren,DG00584,cefditoren,D07639,(INN)
Antibacterials,"Beta-lactam, Cephalosporins",cefditoren,DG00584,cefditoren pivoxil,D01628,(JP17)
Antibacterials,"Beta-lactam, Cephalosporins",cefixime,DG00577,cefixime,D00258,(JAN/USP/INN)
Antibacterials,"Beta-lactam, Cephalosporins",cefixime,DG00577,cefixime hydrate,D07640,(JP17)
Antibacterials,"Beta-lactam, Cephalosporins",cefotaxime,DG00570,cefotaxime,D07647,(INN)
Antibacterials,"Beta-lactam, Cephalosporins",cefotaxime,DG00570,cefotaxime sodium,D00919,(JP17/USP)
Antibacterials,"Beta-lactam, Cephalosporins",cefpodoxime,DG00582,cefpodoxime,D07650,(INN)
Antibacterials,"Beta-lactam, Cephalosporins",cefpodoxime,DG00582,cefpodoxime proxetil,D00920,(JP17/USP)
Antibacterials,"Beta-lactam, Cephalosporins",ceftazidime,DG00571,ceftazidime,D07654,(INN)
Antibacterials,"Beta-lactam, Cephalosporins",ceftazidime,DG00571,ceftazidime,D00921,(USP)
Antibacterials,"Beta-lactam, Cephalosporins",ceftibuten,DG00583,ceftibuten,D00922,(USAN/INN)
Antibacterials,"Beta-lactam, Cephalosporins",ceftibuten,DG00583,ceftibuten hydrate,D02121,(JP17)
Antibacterials,"Beta-lactam, Cephalosporins",ceftriaxone,DG00573,ceftriaxone,D07659,(INN)
Antibacterials,"Beta-lactam, Cephalosporins",ceftriaxone,DG00573,ceftriaxone sodium,D00924,(USP)
Antibacterials,"Beta-lactam, Cephalosporins",cefepime,DG00586,cefepime,D02376,(USAN/INN)
Antibacterials,"Beta-lactam, Cephalosporins",cefepime,DG00586,cefepime hydrochloride,D01157,(USP)
Antibacterials,"Beta-lactam, Cephalosporins",ceftaroline,,ceftaroline fosamil,D08884,(USAN/INN)
Antibacterials,"Beta-lactam, Penicillins",amoxicillin,DG00520,amoxicillin,D07452,(INN)
Antibacterials,"Beta-lactam, Penicillins",amoxicillin,DG00520,amoxicillin,D00229,(USP)
Antibacterials,"Beta-lactam, Penicillins",amoxicillin,DG00520,amoxicillin sodium,D02925,(USAN)
Antibacterials,"Beta-lactam, Penicillins",amoxicillin and clavulanate potassium,,amoxicillin - potassium clavulanate combination,D00230,
Antibacterials,"Beta-lactam, Penicillins",ampicillin,DG00517,ampicillin,D00204,(USP/INN)
Antibacterials,"Beta-lactam, Penicillins",ampicillin,DG00517,ampicillin hydrate,D01251,(JP17)
Antibacterials,"Beta-lactam, Penicillins",ampicillin,DG00517,ampicillin sodium,D02119,(JP17/USP)
Antibacterials,"Beta-lactam, Penicillins",ampicillin,DG00517,ampicillin benzathine,D07570,
Antibacterials,"Beta-lactam, Penicillins",ampicillin sodium and sulbactam sodium,,ampicillin sodium and sulbactam sodium for injection,D02065,(JP17)
Antibacterials,"Beta-lactam, Penicillins",piperacillin,DG00526,piperacillin,D08380,(INN)
Antibacterials,"Beta-lactam, Penicillins",piperacillin,DG00526,piperacillin sodium,D00466,(JP17/USP)
Antibacterials,"Beta-lactam, Penicillins",piperacillin,DG00526,piperacillin,D02251,(USP)
Antibacterials,"Beta-lactam, Penicillins",penicillin g,DG00534,benzylpenicillin,D02336,(INN)
Antibacterials,"Beta-lactam, Penicillins",penicillin g,DG00534,penicillin g potassium,D01053,(USP)
Antibacterials,"Beta-lactam, Penicillins",penicillin g,DG00534,penicillin g benzathine,D02157,(USP)
Antibacterials,"Beta-lactam, Penicillins",penicillin g,DG00534,penicillin g procaine,D02461,(USP)
Antibacterials,"Beta-lactam, Penicillins",penicillin g,DG00534,penicillin g sodium,D05408,(USP)
Antibacterials,"Beta-lactam, Penicillins",penicillin g,DG00534,clemizole penicillin,D07712,(INN)
Antibacterials,"Beta-lactam, Penicillins",penicillin v,DG00535,penicillin v,D05411,(USP)
Antibacterials,"Beta-lactam, Penicillins",penicillin v,DG00535,penicillin v potassium,D00497,(USP)
Antibacterials,"Beta-lactam, Penicillins",penicillin v,DG00535,penicillin v benzathine,D02405,(USP)
Antibacterials,"Beta-lactam, Penicillins",penicillin v,DG00535,phenoxymethylpenicillin benzathine,D02506,(JAN)
Antibacterials,"Beta-lactam, Penicillins",penicillin v,DG00535,penicillin v hydrabamine,D05413,(USP)
Antibacterials,"Beta-lactam, Penicillins",penicillin v,DG00535,phenoxymethylpenicillin calcium,D08360,
Antibacterials,"Beta-lactam, Penicillins",dicloxacillin,DG00540,dicloxacillin,D02348,(USAN/INN)
Antibacterials,"Beta-lactam, Penicillins",dicloxacillin,DG00540,dicloxacillin sodium,D02137,(USP)
Antibacterials,"Beta-lactam, Penicillins",nafcillin,DG00544,nafcillin,D08242,(INN)
Antibacterials,"Beta-lactam, Penicillins",nafcillin,DG00544,nafcillin sodium,D00928,(USP)
Antibacterials,"Beta-lactam, Penicillins",oxacillin,DG00542,oxacillin,D08307,(INN)
Antibacterials,"Beta-lactam, Penicillins",oxacillin,DG00542,oxacillin sodium,D00929,(JAN/USP)
Antibacterials,"Beta-lactam, Other",aztreonam,DG00589,aztreonam,D00240,(JP17/USP/INN)
Antibacterials,"Beta-lactam, Other",aztreonam,DG00589,aztreonam lysine,D06558,(USAN)
Antibacterials,"Beta-lactam, Other",doripenem,DG00593,doripenem,D03895,(USAN/INN)
Antibacterials,"Beta-lactam, Other",doripenem,DG00593,doripenem hydrate,D01836,(JAN)
Antibacterials,"Beta-lactam, Other",ertapenem,DG00592,ertapenem,D07908,(INN)
Antibacterials,"Beta-lactam, Other",ertapenem,DG00592,ertapenem sodium,D04049,(USAN)
Antibacterials,"Beta-lactam, Other",imipenem and cilastatin sodium,,imipenem hydrate - cilastatin sodium,D00344,(JP17)
Antibacterials,"Beta-lactam, Other",meropenem,DG00591,meropenem,D08185,(INN)
Antibacterials,"Beta-lactam, Other",meropenem,DG00591,meropenem,D02222,(USP)
Antibacterials,Macrolides,azithromycin,DG00606,azithromycin,D07486,(INN)
Antibacterials,Macrolides,azithromycin,DG00606,azithromycin hydrate,D02134,(JP17)
Antibacterials,Macrolides,azithromycin,DG00606,azithromycin,D06390,(USP)
Antibacterials,Macrolides,clarithromycin,DG00605,clarithromycin,D00276,(JP17/USP/INN)
Antibacterials,Macrolides,clarithromycin,DG00605,clarithromycin lactobionate,D07710,
Antibacterials,Macrolides,erythromycin,DG00436,erythromycin,D00140,(JP17/USP/INN)
Antibacterials,Macrolides,erythromycin,DG00436,erythromycin estolate,D00851,(USP)
Antibacterials,Macrolides,erythromycin,DG00436,erythromycin ethylsuccinate,D01361,(JP17/USP)
Antibacterials,Macrolides,erythromycin,DG00436,erythromycin lactobionate,D02009,(JP17/USP)
Antibacterials,Macrolides,erythromycin,DG00436,erythromycin stearate,D02184,(JP17/USP)
Antibacterials,Macrolides,erythromycin,DG00436,erythromycin acistrate,D02523,(USAN)
Antibacterials,Macrolides,erythromycin,DG00436,erythromycin gluceptate,D02524,(USP)
Antibacterials,Macrolides,erythromycin,DG00436,erythromycin propionate,D02525,(USAN)
Antibacterials,Macrolides,erythromycin,DG00436,erythromycin salnacedin,D04054,(USAN)
Antibacterials,Macrolides,erythromycin,DG00436,erythromycin thiocyanate,D07909,
Antibacterials,Macrolides,erythromycin,DG00436,erythromycin stinoprate,D07910,(INN)
Antibacterials,Macrolides,fidaxomicin,,fidaxomicin,D09394,(JAN/USAN)
Antibacterials,Macrolides,telithromycin,,telithromycin,D01078,(JAN/USAN/INN)
Antibacterials,Quinolones,besifloxacin,,besifloxacin hydrochloride,D08872,(USAN)
Antibacterials,Quinolones,ciprofloxacin,DG00617,ciprofloxacin,D00186,(JP17/USP/INN)
Antibacterials,Quinolones,ciprofloxacin,DG00617,ciprofloxacin hydrochloride,D02216,(USP)
Antibacterials,Quinolones,ciprofloxacin,DG00617,ciprofloxacin lactate,D07702,
Antibacterials,Quinolones,gatifloxacin,DG00628,gatifloxacin,D08011,(INN)
Antibacterials,Quinolones,gatifloxacin,DG00628,gatifloxacin,D00589,(USAN)
Antibacterials,Quinolones,gemifloxacin,DG00627,gemifloxacin,D08012,(INN)
Antibacterials,Quinolones,gemifloxacin,DG00627,gemifloxacin mesylate,D02471,(USAN)
Antibacterials,Quinolones,levofloxacin,DG00624,levofloxacin,D08120,(INN)
Antibacterials,Quinolones,levofloxacin,DG00624,levofloxacin,D00588,(USAN)
Antibacterials,Quinolones,moxifloxacin,DG00626,moxifloxacin,D08237,(INN)
Antibacterials,Quinolones,moxifloxacin,DG00626,moxifloxacin hydrochloride,D00874,(JAN/USAN)
Antibacterials,Quinolones,norfloxacin,DG00620,norfloxacin,D00210,(JP17/USP/INN)
Antibacterials,Quinolones,norfloxacin,DG00620,norfloxacin nicotinate,D08287,
Antibacterials,Quinolones,ofloxacin,DG00616,ofloxacin,D00453,(JP17/USP/INN)
Antibacterials,Quinolones,ofloxacin,DG00616,ofloxacin hydrochloride,D08291,
Antibacterials,Sulfonamides,sulfacetamide,DG01124,sulfacetamide,D05947,(USP/INN)
Antibacterials,Sulfonamides,sulfacetamide,DG01124,sulfacetamide sodium,D00871,(USP)
Antibacterials,Sulfonamides,sulfadiazine,DG00599,sulfadiazine,D00587,(JAN/USP/INN)
Antibacterials,Sulfonamides,sulfadiazine,DG00599,sulfadiazine sodium,D05949,(USP)
Antibacterials,Sulfonamides,sulfadiazine,DG00599,"sulfadiazine, silver",D00433,(USP)
Antibacterials,Sulfonamides,sulfamethoxazole and trimethoprim,,co-trimoxazole,D00285,(BAN)
Antibacterials,Tetracyclines,demeclocycline,DG00396,demeclocycline,D03680,(USP)
Antibacterials,Tetracyclines,demeclocycline,DG00396,demeclocycline hydrochloride,D00290,(USP)
Antibacterials,Tetracyclines,doxycycline,DG00008,doxycycline,D07876,(INN)
Antibacterials,Tetracyclines,doxycycline,DG00008,doxycycline,D00307,(USP)
Antibacterials,Tetracyclines,doxycycline,DG00008,doxycycline hyclate,D02129,(USP)
Antibacterials,Tetracyclines,doxycycline,DG00008,doxycycline calcium,D03903,(USP)
Antibacterials,Tetracyclines,doxycycline,DG00008,doxycycline fosfatex,D03904,(USAN)
Antibacterials,Tetracyclines,doxycycline,DG00008,doxycycline hydrochloride,D07877,
Antibacterials,Tetracyclines,minocycline,DG00009,minocycline,D05045,(USAN/INN)
Antibacterials,Tetracyclines,minocycline,DG00009,minocycline hydrochloride,D00850,(JP17/USP)
